iter	Passed	Remaining
935	4017	274
936	4021	270
937	4025	266
938	4031	261
939	4035	257
940	4038	253
941	4046	249
942	4050	244
943	4054	240
944	4060	236
945	4064	232
946	4068	227
947	4073	223
948	4079	219
949	4083	214
950	4093	210
951	4104	206
952	4108	202
953	4113	198
954	4116	193
955	4121	189
956	4125	185
957	4129	181
958	4135	176
959	4140	172
960	4143	168
961	4152	164
962	4156	159
963	4161	155
964	4170	151
965	4177	147
966	4187	142
967	4191	138
968	4200	134
969	4205	130
970	4214	125
971	4220	121
972	4224	117
973	4230	112
974	4234	108
975	4238	104
976	4245	99
977	4249	95
978	4252	91
979	4256	86
980	4263	82
981	4266	78
982	4271	73
983	4278	69
984	4282	65
985	4286	60
986	4298	56
987	4308	52
988	4312	47
989	4315	43
990	4324	39
991	4327	34
992	4329	30
993	4332	26
994	4334	21
995	4340	17
996	4343	13
997	4346	8
998	4349	4
999	4353	0
